Method,Version,RMSE,MAE,R2,Timestamp,NormRMSE,NormMAE,R2_shifted,NormR2,R2Loss,Composite
FedAvg,1,1.0485291373029755,0.924577500222201,-29.224222360218686,2025-04-09 13:20:28,0.6121697230821466,0.5393915638672293,40.09161489471002,0.5774116727522993,0.4225883272477007,0.5247165380656922
FedAvg,2,1.599298433157302,1.5884435532164003,-69.31583725492871,2025-04-09 13:20:30,1.0,1.0,0.0,0.0,1.0,1.0
FedAvg,3,1.11886584298589,1.044665050737915,-33.41518911384213,2025-04-09 13:20:34,0.6616980904908287,0.6227115929492727,35.90064814108658,0.5170520905799613,0.48294790942003873,0.5891191976200467
FedAvg,4,1.3769270496990451,1.3651957442209461,-51.12139036404251,2025-04-09 13:20:37,0.8434147366703747,0.8451045603135213,18.194446890886198,0.2620419766492287,0.7379580233507713,0.8088257734448892
FedAvg,5,0.6394873458745162,0.5396089208884396,-10.242374262277261,2025-04-09 13:20:41,0.3241384322408489,0.27228982777540406,59.07346299265145,0.8507940418822743,0.14920595811772575,0.24854473937799287
FedAvg,6,0.3924635790721815,0.3514742671524763,-3.2344094376341426,2025-04-09 13:20:45,0.15019392116269353,0.141756856178407,66.08142781729457,0.9517248899564529,0.04827511004354712,0.11340862912821588
FedAvg,7,0.2748763199769679,0.20421876184429338,-1.0771544221795093,2025-04-09 13:20:49,0.06739355520153455,0.039586956533703054,68.2386828327492,0.9827943350336406,0.017205664966359446,0.04139539223386568
FedAvg,8,0.2748685492465032,0.24046281140538728,-1.0770369818776522,2025-04-09 13:20:52,0.06738808335593487,0.06473407003974636,68.23880027305106,0.9827960264447079,0.01720397355529213,0.04977537565032445
FedAvg,9,0.1965333136802744,0.16032637046648798,-0.061858094919219786,2025-04-09 13:20:56,0.01222746287335944,0.009133214156797536,69.2539791600095,0.9974169425839287,0.0025830574160713438,0.007981244815409438
FedAvg,10,0.30609406123952615,0.2665463918564673,-1.5757513491975446,2025-04-09 13:20:59,0.08937587217116118,0.0828315720073914,67.74008590573116,0.9756133899304132,0.024386610069586756,0.06553135141604643
FedAvg,11,0.1791687304652524,0.14716284509919272,0.11749218160434438,2025-04-09 13:21:03,0.0,0.0,69.43332943653306,1.0,0.0,0.0
FedAvg,12,0.345195146696937,0.31663852629892264,-2.2758461047093324,2025-04-09 13:21:07,0.11690933294118058,0.11758686579599166,67.03999115021938,0.9655304116087166,0.034469588391283446,0.08965526237615189
FedAvg,13,0.35679321154242605,0.3332372065213318,-2.4996716087745665,2025-04-09 13:21:10,0.1250762382763083,0.12910348440396052,66.81616564615415,0.9623068083927736,0.037693191607226395,0.09729097142916507
FedDyn,1,0.673132298953259,0.6564298801929012,-11.456464390135535,2025-04-09 13:35:03,0.9512188399349699,0.9476269245242123,1.028625017043666,0.07954529687124612,0.9204547031287539,0.9397668225293121
FedDyn,2,0.324786662250306,0.2861055861758546,-1.8999486202983356,2025-04-09 13:35:08,0.32744096058504657,0.303736206184444,10.585140786880865,0.8185666811179945,0.18143331888200553,0.27087016188383206
FedDyn,3,0.14192889560988564,0.11141616618748257,0.44622215368683615,2025-04-09 13:35:21,0.0,0.0,12.931311560866037,1.0,0.0,0.0
FedDyn,4,0.2950338593215718,0.22288478140326765,-1.3929721913764403,2025-04-09 13:35:33,0.27416301374103863,0.19381284966502152,11.09211721580276,0.8577720182205476,0.1422279817794524,0.20340128172850414
FedDyn,5,0.7003738937973575,0.6865514856899977,-12.485089407179201,2025-04-09 13:35:45,1.0,1.0,0.0,0.0,1.0,1.0
FedDyn,6,0.480109192009229,0.4400154614340101,-5.336857965566961,2025-04-09 13:35:56,0.6055749402303987,0.5713425764405529,7.14823144161224,0.5527847200932732,0.4472152799067268,0.5413775988592261
FedDyn,7,0.48291497660985905,0.463680093295622,-5.4111402831307265,2025-04-09 13:36:08,0.6105992212423814,0.612488774664097,7.073949124048474,0.5470403439552358,0.4529596560447642,0.5586825506504142
FedDyn,8,0.1880895235291021,0.15246273381431505,0.027424906249117198,2025-04-09 13:36:20,0.08265921992145803,0.0713685392549657,12.512514313428317,0.9676137068180212,0.03238629318197883,0.06213801745280085
FedDyn,9,0.21040731821949205,0.17544365851218088,-0.2170701561633388,2025-04-09 13:36:31,0.12262339681054493,0.11132596130608237,12.268019251015861,0.9487064937900426,0.05129350620995743,0.09508095477552822
FedDyn,10,0.22499007884254815,0.18051730379202077,-0.391620016795142,2025-04-09 13:36:42,0.1487365514997031,0.12014761615459442,12.093469390384058,0.9352082604662054,0.06479173953379458,0.11122530239603068
FedDyn,11,0.2649907712632856,0.23341107039376294,-0.9304360957223368,2025-04-09 13:36:54,0.22036525719241495,0.2121151319863375,11.554653311456864,0.8935407098553446,0.10645929014465538,0.17964655977446925
FedDyn,12,0.15977418870156943,0.13207252055057367,0.2982100039633353,2025-04-09 13:37:06,0.03195532800831544,0.0359156422195712,12.783299411142536,0.9885539723463606,0.011446027653639446,0.026438999293842025
FedDyn,13,0.36472667624087557,0.31543879849966533,-2.657033923744577,2025-04-09 13:37:17,0.3989610102232413,0.3547384856987392,9.828055483434625,0.7600200054863128,0.23997999451368723,0.33122649681188926
FedGen,1,0.7556210167671209,0.7312315087843548,-14.69647577765363,2025-04-09 14:09:28,1.0,1.0,0.0,0.0,1.0,1.0
FedGen,2,0.7237868258633585,0.7093720957396771,-13.401755858942355,2025-04-09 14:09:34,0.9499478006940006,0.9652950862644097,1.2947199187112748,0.08460436131078448,0.9153956386892155,0.9435461752158751
